sample,label,n_windows_before,n_windows_after,mal_windows_before,mal_windows_after,flipped_1_to_0
53571,0,301,301,40,40,0
53581,0,196,196,22,22,0
53627,0,295,295,20,20,0
53699,0,95,95,4,4,0
53700,1,95,95,0,0,0
53710,0,196,196,22,22,0
53724,0,196,196,23,23,0
53761,1,337,337,83,83,0
53775,0,196,196,22,22,0
53784,1,288,288,25,25,0
53795,0,196,196,22,22,0
53810,1,263,263,22,22,0
53823,0,276,276,21,21,0
53860,1,138,138,35,35,0
53903,0,196,196,22,22,0
53963,0,196,196,22,22,0
53968,0,303,303,59,59,0
53972,1,198,198,8,8,0
53976,0,174,174,16,16,0
54049,1,194,194,2,2,0
54055,1,98,98,7,7,0
54061,0,278,278,20,20,0
54085,0,101,101,9,9,0
54097,0,196,196,22,22,0
54228,1,100,100,9,9,0
54251,0,113,113,18,18,0
54253,1,201,201,25,25,0
54275,0,196,196,22,22,0
54282,0,196,196,22,22,0
54299,0,196,196,22,22,0
54323,1,288,288,25,25,0
54338,0,97,97,4,4,0
54344,0,93,93,0,0,0
54392,1,307,307,49,49,0
54443,0,196,196,22,22,0
54448,0,196,196,22,22,0
54513,1,660,660,370,370,0
54540,1,321,321,64,64,0
54553,0,300,300,35,35,0
54565,1,250,250,72,72,0
54621,1,137,137,36,36,0
54641,0,90,90,86,86,0
54642,1,303,303,59,59,0
54651,0,93,93,0,0,0
54697,0,181,181,8,8,0
54699,1,374,374,48,48,0
54701,0,196,196,22,22,0
54705,0,196,196,22,22,0
54749,0,196,196,22,22,0
54761,1,1159,1159,845,845,0
54762,1,307,307,49,49,0
54800,0,196,196,22,22,0
54820,1,544,544,213,213,0
54828,1,304,304,60,60,0
54832,1,289,289,25,25,0
54869,0,196,196,22,22,0
54934,1,155,155,43,43,0
54939,0,196,196,22,22,0
54945,1,332,332,140,140,0
54956,0,196,196,22,22,0
54966,1,176,176,0,0,0
54971,0,32,32,27,27,0
55015,0,196,196,20,20,0
55027,0,196,196,22,22,0
55039,1,302,302,52,52,0
55040,0,196,196,22,22,0
55050,1,217,217,37,37,0
55092,1,217,217,43,43,0
55140,1,288,288,25,25,0
55187,0,196,196,22,22,0
55222,0,287,287,25,25,0
55262,1,276,276,27,27,0
55266,0,183,183,23,23,0
55270,0,1022,1022,846,846,0
55280,0,196,196,22,22,0
55305,0,1,1,0,0,0
55306,0,196,196,22,22,0
55326,0,193,193,23,23,0
55327,1,13,13,4,4,0
55346,0,182,182,6,6,0
55360,1,137,137,36,36,0
55370,0,449,449,169,169,0
55375,1,298,298,48,48,0
55429,1,455,455,197,197,0
55444,0,351,351,118,118,0
55445,1,1107,1107,697,697,0
55449,0,6,6,2,2,0
55480,1,340,340,65,65,0
55506,1,441,441,187,187,0
55522,1,968,968,526,526,0
55534,0,196,196,22,22,0
55560,0,196,196,22,22,0
55587,0,301,301,39,39,0
55647,1,275,275,30,30,0
55665,0,279,279,21,21,0
55681,0,93,93,0,0,0
55731,1,98,98,7,7,0
55802,1,653,653,85,85,0
55808,1,385,385,67,67,0
55867,0,172,172,20,20,0
55882,0,97,97,5,5,0
55886,1,379,379,85,85,0
55896,1,182,182,87,87,0
55897,1,93,93,0,0,0
55924,0,196,196,22,22,0
55932,1,204,204,30,30,0
55998,1,216,216,48,48,0
56000,1,258,258,80,80,0
56011,0,196,196,22,22,0
56015,0,276,276,21,21,0
56049,0,196,196,22,22,0
56054,0,93,93,0,0,0
56079,0,100,100,9,9,0
56089,1,413,413,82,82,0
56101,1,282,282,19,19,0
56159,1,286,286,31,31,0
56178,0,196,196,22,22,0
56193,1,1250,1250,1001,1001,0
56201,0,302,302,57,57,0
56215,1,137,137,36,36,0
56218,1,101,101,10,10,0
56221,0,196,196,22,22,0
56236,0,235,235,60,60,0
56251,0,196,196,22,22,0
56303,1,217,217,36,36,0
56325,1,1250,1250,1074,1074,0
56330,1,329,329,56,56,0
56333,0,196,196,22,22,0
56345,0,101,101,9,9,0
56361,0,300,300,36,36,0
56380,1,846,846,431,431,0
56381,1,93,93,0,0,0
56386,0,196,196,22,22,0
56392,1,315,315,62,62,0
56402,0,196,196,22,22,0
56420,0,98,98,7,7,0
56422,1,307,307,46,46,0
56479,1,155,155,37,37,0
56505,1,104,104,10,10,0
56511,1,410,410,78,78,0
56564,0,196,196,22,22,0
56626,0,196,196,22,22,0
56631,1,136,136,43,43,0
56646,1,46,46,36,36,0
56699,0,6,6,2,2,0
56702,0,196,196,22,22,0
56705,1,526,526,258,258,0
56711,1,227,227,47,47,0
56742,0,88,88,84,84,0
56750,1,4,4,0,0,0
56755,0,1,1,0,0,0
56762,0,196,196,22,22,0
56778,0,303,303,58,58,0
56848,1,217,217,30,30,0
56873,0,196,196,22,22,0
56901,0,196,196,22,22,0
56924,0,5,5,3,3,0
56925,0,127,127,36,36,0
56927,0,196,196,22,22,0
56962,1,274,274,24,24,0
56972,1,184,184,6,6,0
56981,0,196,196,22,22,0
56988,1,772,772,454,454,0
57046,1,131,131,37,37,0
57071,1,1250,1250,23,23,0
